HomeTeam,AwayTeam,3DConvAvg,3DConv75,3DConv66,Outcome
Arizona Cardinals,Green Bay Packers,7.80,7.85,7.834,-3
New York Jets,Cincinnati Bengals,-13.05,-11.275,-11.843,3
Indianapolis Colts,Tennessee Titans,2.10,2,2.032,-3
Houston Texans,Los Angeles Rams,-17.95,-21.975,-20.687,-16
Cleveland Browns,Pittsburgh Steelers,3.95,5.275,4.851,-5
Detroit Lions,Philadelphia Eagles,-10.90,-9.8,-10.152,-38
Chicago Bears,San Francisco 49ers,-6.60,-6.95,-6.838,-11
Atlanta Falcons,Carolina Panthers,-3.10,2,0.368,-6
Buffalo Bills,Miami Dolphins,21.15,21.325,21.269,15
Los Angeles Chargers,New England Patriots,-8.10,-5.45,-6.298,-3
Seattle Seahawks,Jacksonville Jaguars,6.70,7.1,6.972,24
Denver Broncos,Washington Football Team,11.90,7.45,8.874,7
New Orleans Saints,Tampa Bay Buccaneers,-2.85,-5.225,-4.465,9
Minnesota Vikings,Dallas Cowboys,-4.70,-6.2,-5.72,-4
Kansas City Chiefs,New York Giants,2.35,4.325,3.693,3
Indianapolis Colts,New York Jets,15.1,15.4,15.304,15
New Orleans Saints,Atlanta Falcons,4.55,1.525,2.493,-2
Dallas Cowboys,Denver Broncos,-0.2,3.35,2.214,-14
Carolina Panthers,New England Patriots,-6.5,-10.25,-9.05,-18
Baltimore Ravens,Minnesota Vikings,4.3,5.05,4.81,3
Cincinnati Bengals,Cleveland Browns,-1.25,-2.675,-2.219,-25
Jacksonville Jaguars,Buffalo Bills,-21,-22.75,-22.19,3
Miami Dolphins,Houston Texans,1.5,2.7,2.316,8
New York Giants,Las Vegas Raiders,-6,-6.05,-6.034,7
Philadelphia Eagles,Los Angeles Chargers,1.95,-0.225,0.471,-3
Kansas City Chiefs,Green Bay Packers,-3.5,-0.75,-1.63,6
San Francisco 49ers,Arizona Cardinals,-12.05,-11.175,-11.455,-14
Los Angeles Rams,Tennessee Titans,5.9,6.5,6.308,-12
Pittsburgh Steelers,Chicago Bears,6.55,5.925,6.125,2
Miami Dolphins,Baltimore Ravens,-13.7,-15.2,-14.72,11
Indianapolis Colts,Jacksonville Jaguars,12.5,16.2,15.016,6
New England Patriots,Cleveland Browns,3.8,3.2,3.392,38
Dallas Cowboys,Atlanta Falcons,8.05,8.075,8.067,40
New York Jets,Buffalo Bills,-23.6,-21.95,-22.478,-28
Tennessee Titans,New Orleans Saints,-0.05,2.975,2.007,2
Washington Football Team,Tampa Bay Buccaneers,-11.05,-9.475,-9.979,10
Pittsburgh Steelers,Detroit Lions,9.3,7,7.736,0
Los Angeles Chargers,Minnesota Vikings,-1.85,0.925,0.037,-7
Arizona Cardinals,Carolina Panthers,10.85,13.975,12.975,-24
Green Bay Packers,Seattle Seahawks,5.35,6.725,6.285,17
Denver Broncos,Philadelphia Eagles,4.8,2.15,2.998,-17
Las Vegas Raiders,Kansas City Chiefs,3.65,1.725,2.341,-27
San Francisco 49ers,Los Angeles Rams,-8.5,-10.2,-9.656,21
Atlanta Falcons,New England Patriots,-13.75,-13.525,-13.597,-25
Philadelphia Eagles,New Orleans Saints,0.55,2.225,1.689,11
New York Jets,Miami Dolphins,-4.9,-2.25,-3.098,-7
Carolina Panthers,Washington Football Team,6.85,0.675,2.651,-6
Buffalo Bills,Indianapolis Colts,8.55,7.475,7.819,-26
Cleveland Browns,Detroit Lions,9.25,9.725,9.573,3
Jacksonville Jaguars,San Francisco 49ers,-8.7,-11.4,-10.536,-20
Tennessee Titans,Houston Texans,12.2,15.7,14.58,-9
Minnesota Vikings,Green Bay Packers,-4.05,-2.225,-2.809,3
Chicago Bears,Baltimore Ravens,-10.65,-10.275,-10.395,-3
Las Vegas Raiders,Cincinnati Bengals,-1.15,0.175,-0.249,-19
Seattle Seahawks,Arizona Cardinals,-11.05,-13.375,-12.631,-10
Kansas City Chiefs,Dallas Cowboys,-4.35,-2.675,-3.211,10
Los Angeles Chargers,Pittsburgh Steelers,-1.35,2.875,1.523,4
Tampa Bay Buccaneers,New York Giants,5.5,6.7,6.316,20
