HomeTeam,AwayTeam,3DConv,RZPct,YpD,TOPct,PpD,Vegas,Outcome
Arizona Cardinals,Green Bay Packers,7.834,0.1495,3.4360,1.5770,0.5900,6.5000,-3
New York Jets,Cincinnati Bengals,-11.843,-0.0655,-2.3630,-4.4240,-0.7292,-11.5000,3
Indianapolis Colts,Tennessee Titans,2.032,-0.1223,1.1760,6.3120,0.0837,3.0000,-3
Houston Texans,Los Angeles Rams,-20.687,-0.1130,-9.1060,-3.2520,-1.2294,-16.5000,-16
Cleveland Browns,Pittsburgh Steelers,4.851,-0.0954,6.3510,-0.6320,0.2896,5.0000,-5
Detroit Lions,Philadelphia Eagles,-10.152,-0.1916,-2.3310,-2.0810,-0.6073,-3.0000,-38
Chicago Bears,San Francisco 49ers,-6.838,-0.0863,-4.8070,2.6040,-0.4480,-4.5000,-11
Atlanta Falcons,Carolina Panthers,0.368,0.0942,-0.8500,0.2890,0.0544,2.5000,-6
Buffalo Bills,Miami Dolphins,21.269,-0.0007,8.6860,7.0350,1.0930,15.0000,15
Los Angeles Chargers,New England Patriots,-6.298,0.0136,2.2670,-0.9950,-0.0967,3.5000,-3
Seattle Seahawks,Jacksonville Jaguars,6.972,0.1637,-1.9810,5.0660,0.4603,4.0000,24
Denver Broncos,Washington Football Team,8.874,0.0838,2.3500,0.9810,0.5100,4.0000,7
New Orleans Saints,Tampa Bay Buccaneers,-4.465,0.0345,-6.2240,0.3200,-0.3124,-4.0000,9
Minnesota Vikings,Dallas Cowboys,-5.72,0.0436,-5.0880,-0.2320,-0.3955,4.5000,-4
Kansas City Chiefs,New York Giants,3.693,0.0264,5.4420,-6.1510,0.3867,10.5000,3
Indianapolis Colts,New York Jets,15.304,-0.0506,4.2130,12.9120,0.8008,10.0000,15
New Orleans Saints,Atlanta Falcons,2.493,0.1032,-0.1550,5.1080,0.3548,6.5000,-2
Dallas Cowboys,Denver Broncos,2.214,-0.0181,3.9550,3.3530,0.2264,10.0000,-14
Carolina Panthers,New England Patriots,-9.05,-0.0877,-1.3430,-4.4920,-0.5024,-3.5000,-18
Baltimore Ravens,Minnesota Vikings,4.81,0.1089,2.5820,-4.4280,0.2519,7.0000,3
Cincinnati Bengals,Cleveland Browns,-2.219,0.1127,-5.6140,-0.1500,0.0053,2.0000,-25
Jacksonville Jaguars,Buffalo Bills,-22.19,-0.0605,-7.1390,-11.1530,-1.1271,-16.0000,3
Miami Dolphins,Houston Texans,2.316,0.0987,2.0140,-0.7030,0.2471,4.0000,8
New York Giants,Las Vegas Raiders,-6.034,0.0169,-4.1650,1.4190,-0.3841,-3.0000,7
Philadelphia Eagles,Los Angeles Chargers,0.471,0.0426,-2.0880,-1.8870,-0.0944,-1.0000,-3
Kansas City Chiefs,Green Bay Packers,-1.63,0.0278,2.8070,-7.5410,0.0121,7.0000,6
San Francisco 49ers,Arizona Cardinals,-11.455,0.0206,-2.4090,-10.3500,-0.7230,5.5000,-14
Los Angeles Rams,Tennessee Titans,6.308,-0.0115,3.7170,2.6000,0.3504,7.0000,-12
Pittsburgh Steelers,Chicago Bears,6.125,0.0349,1.6000,1.3460,0.3689,7.0000,2
Miami Dolphins,Baltimore Ravens,-14.72,-0.0804,-6.3240,1.0300,-0.6818,-7.5000,11
Indianapolis Colts,Jacksonville Jaguars,15.016,-0.0353,3.0040,11.7850,0.7497,10.5000,6
New England Patriots,Cleveland Browns,3.392,0.0485,-4.2460,4.0150,0.0945,1.5000,38
Dallas Cowboys,Atlanta Falcons,8.067,-0.0338,6.9540,4.4890,0.5402,9.0000,40
New York Jets,Buffalo Bills,-22.478,-0.0453,-8.3480,-12.2800,-1.1782,-13.5000,-28
Tennessee Titans,New Orleans Saints,2.007,-0.0393,1.6540,-2.8940,-0.0081,3.0000,2
Washington Football Team,Tampa Bay Buccaneers,-9.979,-0.1682,-5.4200,-4.6330,-0.8634,-9.5000,10
Pittsburgh Steelers,Detroit Lions,7.736,0.1824,0.0470,1.5800,0.4143,9.0000,0
Los Angeles Chargers,Minnesota Vikings,0.037,-0.0026,2.5940,-1.0490,0.2066,2.5000,-7
Arizona Cardinals,Carolina Panthers,12.975,0.1654,4.8540,7.5090,0.9204,10.0000,-24
Green Bay Packers,Seattle Seahawks,6.285,-0.2191,4.5780,3.8360,0.1350,3.5000,17
Denver Broncos,Philadelphia Eagles,2.998,-0.0654,0.6270,-0.1850,0.0569,3.0000,-17
