HomeTeam,AwayTeam,3DConv,RZPct,YpD,TOPct,PpD,Vegas,Outcome
Arizona Cardinals,Green Bay Packers,7.834,0.1495,3.436,1.577,0.59,6.5,-3
New York Jets,Cincinnati Bengals,-11.843,-0.0655,-2.363,-4.424,-0.7292,-11.5,3
Indianapolis Colts,Tennessee Titans,2.032,-0.1223,1.176,6.312,0.0837,3,-3
Houston Texans,Los Angeles Rams,-20.687,-0.113,-9.106,-3.252,-1.2294,-16.5,-16
Cleveland Browns,Pittsburgh Steelers,4.851,-0.0954,6.351,-0.632,0.2896,5,-5
Detroit Lions,Philadelphia Eagles,-10.152,-0.1916,-2.331,-2.081,-0.6073,-3,-38
Chicago Bears,San Francisco 49ers,-6.838,-0.0863,-4.807,2.604,-0.448,-4.5,-11
Atlanta Falcons,Carolina Panthers,0.368,0.0942,-0.85,0.289,0.0544,2.5,-6
Buffalo Bills,Miami Dolphins,21.269,-0.0007,8.686,7.035,1.093,15,15
Los Angeles Chargers,New England Patriots,-6.298,0.0136,2.267,-0.995,-0.0967,3.5,-3
Seattle Seahawks,Jacksonville Jaguars,6.972,0.1637,-1.981,5.066,0.4603,4,24
Denver Broncos,Washington Football Team,8.874,0.0838,2.35,0.981,0.51,4,7
New Orleans Saints,Tampa Bay Buccaneers,-4.465,0.0345,-6.224,0.32,-0.3124,-4,9
Minnesota Vikings,Dallas Cowboys,-5.72,0.0436,-5.088,-0.232,-0.3955,4.5,-4
Kansas City Chiefs,New York Giants,3.693,0.0264,5.442,-6.151,0.3867,10.5,3
Indianapolis Colts,New York Jets,15.304,-0.0506,4.213,12.912,0.8008,10,15
New Orleans Saints,Atlanta Falcons,2.493,0.1032,-0.155,5.108,0.3548,6.5,-2
Dallas Cowboys,Denver Broncos,2.214,-0.0181,3.955,3.353,0.2264,10,-14
Carolina Panthers,New England Patriots,-9.05,-0.0877,-1.343,-4.492,-0.5024,-3.5,-18
Baltimore Ravens,Minnesota Vikings,4.81,0.1089,2.582,-4.428,0.2519,7,3
Cincinnati Bengals,Cleveland Browns,-2.219,0.1127,-5.614,-0.15,0.0053,2,-25
Jacksonville Jaguars,Buffalo Bills,-22.19,-0.0605,-7.139,-11.153,-1.1271,-16,3
